201637175	14.9	11	17	55.88	2	37	8.65
201677835	14.0	11	44	29.65	3	16	20.73
201702477	14.4	11	40	57.79	3	40	53.70
201736247	14.4	11	52	26.59	4	15	17.09
202059377	 8.7	6	36	44.23	21	39	5.65
202064253	12.3	6	6	1.02	22	53	30.34
202071289	11.0	6	20	43.94	24	54	15.62
202071401	12.9	6	41	30.71	20	55	22.12
202071635	10.2	6	14	17.23	18	37	37.27
202072596	11.2	6	38	2.58	20	56	21.52
202072965	10.3	6	26	23.89	27	56	44.16
202083828	14.0	6	16	49.58	24	35	47.08
202086291	12.3	6	17	47.92	25	36	9.25
202086968	12.4	6	28	1.35	16	23	19.86
202088212	11.6	6	22	33.91	14	44	30.37
202089657	11.6	6	5	48.85	23	29	4.34
202090152	11.4	6	44	19.00	28	6	48.89
202091388	13.5	6	5	27.31	21	15	21.71
202092480	10.6	6	52	12.55	25	20	20.72
202126847	12.4	6	48	48.31	17	9	42.88
202126849	13.6	6	39	35.52	25	28	57.14
202126852	10.9	6	43	23.54	27	15	8.24
202126887	13.0	6	37	31.33	26	47	11.58
202126888	13.5	6	32	11.40	27	13	11.21
205904628	 8.2	22	26	18.19	-18	0	40.21
205916737	13.4	22	32	13.13	-17	32	45.63
205916793	13.4	22	32	13.00	-17	32	38.38
205944181	12.4	22	15	41.98	-16	33	48.74
205947161	11.2	22	43	50.33	-16	27	44.86
206486006	12.8	22	37	50.91	-5	9	27.86
210363145	11.9	3	40	54.80	12	34	21.40
210400751	11.9	3	48	54.07	13	29	0.76
210401157	10.4	3	57	27.91	13	29	37.33
210402237	11.8	3	41	1.42	13	31	9.74
210414957	12.7	4	17	18.06	13	48	17.43
210483889	13.5	3	54	3.57	15	8	13.75
210484192	 8.9	3	54	3.37	15	8	30.20
210508766	13.8	3	59	36.38	15	33	31.99
210512842	12.1	4	1	29.99	15	37	30.13
210558622	12.0	4	3	10.28	16	20	50.81
210598340	12.5	3	47	28.50	16	56	29.87
210609658	12.6	3	42	52.04	17	6	5.40
210625740	16.9	4	4	0.46	17	19	41.51
210629082	11.6	3	49	4.07	17	22	31.94
210643811	10.6	3	30	0.86	17	35	3.09
210666756	12.7	3	53	44.60	17	53	55.91
210667381	12.7	3	53	4.60	17	54	25.46
210707130	12.1	3	57	51.46	18	27	54.91
210718708	12.8	3	26	12.67	18	38	8.22
210750726	14.6	3	39	0.38	19	7	12.64
210769880	11.0	4	10	7.91	19	24	40.15
210775710	11.8	3	37	5.82	19	29	58.64
210843708	12.8	3	51	9.36	20	32	6.29
210848071	11.0	3	34	36.23	20	35	57.24
210857328	12.6	3	40	55.10	20	44	9.88
210903662	12.1	4	0	12.26	21	26	51.15
210958990	12.6	4	11	0.96	22	19	31.23
210965800	12.1	3	31	33.33	22	26	5.53
